id,category,query1,query2,label
198,感冒,哺乳期感冒吃什么药效果好？,哺乳期宝宝可以喝蜂蜜水吗,0
199,感冒,感冒了嗓子不舒服有什么妙招,感冒了嗓子不舒服怎样治疗,1
200,支原体肺炎,宝宝嗓子发炎吃利君沙管用吗,我家小孩嗓子发炎吃什么药,0
201,肺气肿,肺气肿治疗方法有哪些？,治疗肺气肿有什么方法不？,1
202,感冒,感冒一直没好怎么办啊？,感冒一直不见好该咋处理？,1
203,肺炎,6岁患有肺炎的小孩怎么治疗,6岁孩子得肺炎有什么症状,0
204,上呼吸道感染,上呼吸道感染导致病毒性感冒,病毒性感冒引起上呼吸道感染咳嗽，吃些什么,0
205,支原体肺炎,小孩患支原体肺炎，还低烧，该怎么处理办？,孩子5岁肺炎支原体阳性低烧正常吗？,0
206,感冒,小孩感冒一直流鼻涕怎么办,孩子感冒流鼻涕该咋办呢,1
207,感冒,宝宝有透明粘鼻涕需要治疗吗,宝宝有透明粘鼻涕需要处理吗,1
208,肺气肿,老人肺气肿冬天咳嗽的更厉害的原因是什么？,为什么冬天得肺气肿的老人咳嗽很厉害,1
209,上呼吸道感染,鼻息肉会有什么的危害？,出现了鼻息肉会有什么危害,1
210,肺炎,肺炎的症状有哪些临床表现？,肺炎有哪些症状?,1
211,感冒,孕妇感冒了怎么处理？,孕妇感冒了能喝盐水么？,0
212,哮喘,治疗哮喘的最好方法是什么？,目前最好的哮喘药是什么？,0
213,上呼吸道感染,乐达非热毒平颗粒可以治疗那种病,什么病可以吃乐达非热毒平颗粒,1
214,肺气肿,肺气肿该怎么治疗好？,肺气肿要怎么治疗才好？,1
215,咳血,咨询一下百令胶囊是非处方药吗,咨询一下百令胶囊是不是处方药,1
216,感冒,小孩子老是感冒该怎么治疗？,为什么小孩子老是感冒？,1
217,哮喘,"哮喘,咳嗽,气喘适宜吃孟鲁司特钠片吗？","哮喘,咳嗽,气喘该注意什么在饮食上？",0
218,感冒,孕妇感冒能喝红糖煮姜水吗,孕妇感冒可不可喝红糖煮姜水吗,1
219,肺炎,23介肺炎疫苗有必要打吗,23价肺炎疫苗要打几针合适呢？,0
220,感冒,孕妇感冒了怎么办？,怀孕的妈妈在怀孕期间需要注意什么,0
221,胸膜炎,胸膜炎治疗不当会有什么结果？,胸膜炎治疗不当会产生哪些后果？,1
222,哮喘,"确诊患了变异性哮喘,应该吃什么药",变异性哮喘吃什么药管事？,1
223,感冒,感冒流鼻涕需要吃什么药？,感冒流鼻涕可以吃什么药？,1
224,肺炎,孩子肺炎怎么治疗能快速好起来,怎样治疗孩子肺炎好的快,1
225,感冒,小孩子一直打喷嚏会不会感冒了,小孩子一直打喷嚏是感冒了吗,1
226,肺炎,病毒性肺炎怎么通过血液检查出？,做血常规能检查出肺炎吗,0
227,感冒,哺乳期感冒能吃什么药？,哺乳期感冒能吃什么药？,1
228,肺炎,肺炎出院后能适当运动吗？比如打乒乓球,肺炎出院后可不可以适当运动，比如打乒乓球,1
229,感冒,为什么感冒会引起头痛？,感冒引起头痛用不用吃药,0
230,咳血,百令胶囊是一日三次吗？,百令胶囊是苦的还是咸的？,0
231,咳血,剧烈运动后咯血是什么原因？,剧烈运动后咯血，应该怎么处理？,0
232,感冒,我感冒了然后擤了鼻涕耳朵，感觉有点堵，怎么办？,耳朵堵会引起什么疾病？,0
233,咳血,百令胶囊是味道是怎样的？,百令胶囊味道好吗，苦还是咸？,1
234,肺炎,6岁的孩子得肺炎采用什么方法治疗好,儿童得了肺炎怎样治疗,1
235,上呼吸道感染,黄葵胶囊是医保用药吗,我想知道黄葵胶囊医保能用吗,1
236,感冒,小宝宝感冒流鼻涕怎么治？,小宝宝感冒流鼻涕怎么办才好,1
237,支原体肺炎,顺尔宁是否可以治疗支原体肺炎效果怎么样？,治疗支原体肺炎能长期服用顺尔宁吗？,0
238,上呼吸道感染,吃了阿莫西林会有啥反应,阿莫西林一粒是多少克,0
239,支原体肺炎,小儿支原体肺炎怎么护理？,小儿支原体肺炎是如何护理的？,1
240,肺炎,小孩子常用阿奇霉素有会导致什么后果？,小孩子常用阿奇霉素好不好？,0
241,上呼吸道感染,阿莫西林胶囊属于抗生素吗,阿莫西林胶囊的禁忌是什么,0
242,感冒,宝宝感冒了，流鼻涕鼻子不通，怎么办？,宝宝流鼻涕鼻子不通有什么小妙招,1
243,肺气肿,肺气肿晚期患者要怎么治疗？,肺气肿患者晚期如何是好？,1
244,感冒,吃感冒药会不会影响月经推迟,吃感冒药能影响大姨妈推迟吗,1
245,感冒,感冒了嗓子不舒服有什么妙招,感冒了嗓子不舒服有什么好办法,1
246,感冒,感冒嗓子疼的厉害有什么办法？,感冒嗓子疼的厉害是咽炎吗？,0
247,感冒,九个月宝宝流鼻涕有什么办法,九个月宝宝流鼻涕是不是感冒的症状,0
248,哮喘,过敏性哮喘的治疗方法是什么,过敏性哮喘需要怎样治疗,1
249,哮喘,咳嗽变异性哮喘能否自愈,咳嗽变异性哮喘会自己康复吗,1
250,感冒,宝宝打喷嚏流鼻涕如何是好,打喷嚏流鼻涕的宝宝应该怎么办,1
251,肺炎,23价肺炎疫苗要打多少针合适呢?,什么时候打23价肺炎疫苗合适呢?,0
252,感冒,回吸鼻涕中带血是怎么回事,回吸鼻涕带血是有鼻炎吗,0
253,上呼吸道感染,复方氨肽素片可以和紫丹银屑胶囊一起服用可以吗,紫丹银屑胶囊能同复方氨肽素片一起服用没副作用吧,1
254,肺气肿,肺气肿能锻炼吗? 对病情有好处吗?,肺气肿病人可以做运动吗？运动有好处没有？,1
255,感冒,不到5岁小孩老是感冒怎么治？,小孩老是感冒是遗传吗,0
256,肺炎,6岁的小孩得了肺炎怎么治疗,儿童得了肺炎如何治疗,1
257,肺气肿,患有肺气肿要不要紧严重吗？,得了肺气肿可怕吗？要不要紧？,1
258,上呼吸道感染,同仁堂感冒清热颗粒的效果好吗,同仁堂感冒清热颗粒是清热解毒的药吗,0
259,支原体肺炎,恩久平盐酸氨溴索分散片是治疗什么的？,恩久平盐酸氨溴索分散片能治什么病？,1
260,感冒,感冒引起声音沙哑该怎么治疗？,感冒声音沙哑需要去医院吗？,0
261,感冒,哺乳期感冒吃什么药好呢？,哺乳期感冒能吃什么药？,1
262,上呼吸道感染,红树清火栀麦片属于中药吗,红树清火栀麦片副作用大不大,0
263,感冒,怀孕期间感冒了，对胎儿都有什么影响,怀孕期间感冒可以喝姜汤吗,0
264,胸膜炎,干性胸膜炎吃什么药？,干性胸膜炎能治愈吗？,0
265,肺气肿,患有肺气肿、慢支有好的治疗方法吗？,如何有效治疗慢支肺气肿？,1
266,支原体肺炎,支原体肺炎感染，不打吊瓶可以吗？,支原体肺炎感染如何预防？,0
267,感冒,九个月宝宝感冒打喷嚏流鼻涕吃什药效果好,九个月孩子打喷嚏流鼻涕推荐吃什么药,1
268,肺炎,严重的慢性肺炎能不能传染吗?,严重的慢性肺炎是不是会传染给家人啊,1
269,感冒,感冒打预防针有什么危害吗,感冒打预防针有什么危害,1
270,感冒,鼻塞打喷嚏流鼻涕如何是好？,鼻塞打喷嚏流鼻涕怎么治？,1
271,上呼吸道感染,感冒咳嗽服用了过期的化痰消咳片还会有效果吗,孕妇误食用了化痰消咳片对胎儿有影响吗,0
272,支原体肺炎,支原体肺炎感染，不打吊瓶可以吗？,支原体肺炎感染能否不打吊瓶？,1
273,肺气肿,长期吸烟造成了肺气肿，怎么做才好？,肺气肿引起的咳嗽怎么治疗？,0
274,咳血,肾囊肿服用百令胶囊可以吗？,肾囊肿是否可以吃百令胶囊？,1
275,感冒,感冒期间能不能喝龙牡壮骨颗粒,感冒喝龙牡壮骨颗粒有用吗,1
276,肺炎,肺炎支原体抗体1：40参考值1：80阴性, 肺炎支原体抗体阴性1:40是否正常？,1
277,肺气肿,肺气肿气短怎么办,肺气肿气喘怎么办,1
278,感冒,孕妇感冒了怎么处理？,孕妇感冒了，怎么办才好啊,1
279,感冒,为啥小孩长期流鼻涕？,小孩长期流鼻涕是为什么？,1
280,感冒,感冒嗓子疼的厉害有什么办法？,感冒嗓子疼的厉害有什么办法？,1
281,感冒,感冒引起的鼻塞流鼻涕吃什么药,感冒鼻塞流鼻涕是那种感冒,0
282,支原体肺炎,刚出生的小孩可以用红霉素软膏吗,红霉素软膏可以用给新生儿吗,1
283,哮喘,治疗支气管炎效果最好的方法是什么?,支气管炎有什么症状？,0
