id,category,query1,query2,label
79,支气管炎,支气管炎引起的小儿咳嗽怎么治疗？,小儿支气管炎可以用哪些药？,0
80,支气管炎,支气管炎引起耳聋耳鸣该如何治疗？,因支气管炎而引起的耳聋耳鸣该怎样治疗？,1
81,支气管炎,支气管炎引起耳聋耳鸣该如何治疗？,怎样治疗因支气管炎而引起的耳聋耳鸣？,1
82,支气管炎,支气管炎引起耳聋耳鸣该如何治疗？,支气管炎引起耳聋耳鸣的原因有哪些？,0
83,支气管炎,支气管炎引起耳聋耳鸣该如何治疗？,支气管炎引起耳聋耳鸣会自己好吗？,0
84,支气管炎,支气管炎引起耳聋耳鸣该如何治疗？,支气管炎引起耳聋耳鸣该如何预防？,0
85,支气管炎,支气管炎怎么办,支气管炎有什么好办法,1
86,支气管炎,支气管炎怎么办,支气管炎需要治疗吗,1
87,支气管炎,支气管炎怎么办,支气管炎的症状起因是什么,0
88,支气管炎,支气管炎怎么办,怎么缓解支气管炎,0
89,支气管炎,支气管炎怎么办,如何预防支气管炎,0
90,支气管炎,支气管炎是什么疾病？,什么是支气管炎,1
91,支气管炎,支气管炎是什么疾病？,支气管炎是一种什么病,1
92,支气管炎,支气管炎是什么疾病？,支气管炎是怎么引起的,0
93,支气管炎,支气管炎是什么疾病？,支气管炎喝什么,0
94,支气管炎,支气管炎是什么疾病？,为什么会支气管炎,0
95,支气管炎,支气管炎用什么药好,支气管炎服什么药效果好,1
96,支气管炎,支气管炎用什么药好,支气管炎吃什么药,1
97,支气管炎,支气管炎用什么药好,支气管炎有什么症状,0
98,支气管炎,支气管炎用什么药好,支气管炎雾化可以吗,0
99,支气管炎,支气管炎用什么药好,支气管炎能引起鼻窦炎吗,0
100,支气管炎,支气管炎症状是怎么样的,支气管炎症状有哪些,1
101,支气管炎,支气管炎症状是怎么样的,支气管炎有哪些临床症状？,1
102,支气管炎,支气管炎症状是怎么样的,急性支气管炎症状具体是怎样的呢？这个一般是哪些造成的呢？,0
103,支气管炎,支气管炎症状是怎么样的,急性支气管炎的症状是怎样,0
104,支气管炎,支气管炎症状是怎么样的,支气管炎吃什么好？,0
105,支气管炎,支气管炎的症状有哪些,支气管炎有什么症状,1
106,支气管炎,支气管炎的症状有哪些,什么是支气管炎的症状,1
107,支气管炎,支气管炎的症状有哪些,支气管炎用什么药,0
108,支气管炎,支气管炎的症状有哪些,支气管炎用输液吗,0
109,支气管炎,支气管炎的症状有哪些,支气管炎怎么治疗,0
110,支气管炎,上咽痛是支气管炎吗,上咽痛是支气管炎的症状吗,1
111,支气管炎,上咽痛是支气管炎吗,上咽痛是支气管炎的表现吗,1
112,支气管炎,上咽痛是支气管炎吗,上咽痛是什么病,0
113,支气管炎,上咽痛是支气管炎吗,上咽痛该怎么办,0
114,支气管炎,上咽痛是支气管炎吗,上咽痛应该吃什么药,0
115,支气管炎,严重的支气管炎病怎么治就是一直咳嗽,一直咳嗽有严重的支气管炎病该怎么治疗？,1
116,支气管炎,严重的支气管炎病怎么治就是一直咳嗽,一直咳嗽有严重的支气管炎病如何医治？,1
117,支气管炎,严重的支气管炎病怎么治就是一直咳嗽,支气管炎病有什么症状？,0
118,支气管炎,严重的支气管炎病怎么治就是一直咳嗽,支气管炎病的病因是什么？,0
119,支气管炎,严重的支气管炎病怎么治就是一直咳嗽,咳嗽，支气管炎，支气管炎用什么药？,0
120,支气管炎,中医如何治疗支气管炎,中医怎么治疗支气管炎？,1
121,支气管炎,中医如何治疗支气管炎,支气管炎怎么通过中医治疗？,1
122,支气管炎,中医如何治疗支气管炎,中医治疗支气管炎效果如何？,0
123,支气管炎,中医如何治疗支气管炎,支气管炎的中医治疗方法有哪些？,0
124,支气管炎,中医如何治疗支气管炎,支气管炎的中药方有哪些？,0
125,支气管炎,中耳炎能使支气管炎吗,中耳炎会使支气管炎吗?,1
126,支气管炎,中耳炎能使支气管炎吗,中耳炎会不会使支气管炎？,1
127,支气管炎,中耳炎能使支气管炎吗,中耳炎能使上呼吸道严重感染吗？,0
128,支气管炎,中耳炎能使支气管炎吗,中耳炎吃什么药比较好呢？,0
129,支气管炎,中耳炎能使支气管炎吗,中耳炎吃什么药效果最好呢？,0
130,支气管炎,中耳炎能使支气管炎吗,支气管炎和中耳炎有关系吗,1
131,支气管炎,中耳炎能使支气管炎吗,中耳炎能引起支气管炎吗,1
132,支气管炎,中耳炎能使支气管炎吗,中耳炎是怎么引起的,0
133,支气管炎,中耳炎能使支气管炎吗,中耳炎能马上停药吗,0
134,支气管炎,中耳炎能使支气管炎吗,中耳炎能根治吗,0
135,支气管炎,什么是咳嗽支气管炎?,什么叫做咳嗽支气管炎,1
136,支气管炎,什么是咳嗽支气管炎?,什么是变异性咳嗽支气管炎？,1
137,支气管炎,什么是咳嗽支气管炎?,咳嗽支气管炎什么症状,0
138,支气管炎,什么是咳嗽支气管炎?,咳嗽支气管炎有什么表现,0
139,支气管炎,什么是咳嗽支气管炎?,咳嗽支气管炎用药有哪些,0
140,支气管炎,你家小孩子得了支气管炎怎么办？,孩子得了支气管炎怎么办才好？,1
141,支气管炎,你家小孩子得了支气管炎怎么办？,你家小孩子得了支气管炎该怎么做？,1
142,支气管炎,你家小孩子得了支气管炎怎么办？,小孩子得了支气管炎会传染吗？,0
143,支气管炎,你家小孩子得了支气管炎怎么办？,得了支气管炎有什么症状？,0
144,支气管炎,你家小孩子得了支气管炎怎么办？,支气管炎能治好吗？,0
145,支气管炎,儿童支气管炎吃什么药,哪些药治疗儿童支气管炎,1
146,支气管炎,儿童支气管炎吃什么药,儿童支气管炎需要吃什么药,1
147,支气管炎,儿童支气管炎吃什么药,儿童支气管炎的症状是什么,0
148,支气管炎,儿童支气管炎吃什么药,儿童支气管炎分几种,0
149,支气管炎,儿童支气管炎吃什么药,儿童支气管炎能引起咳嗽吗,0
150,支气管炎,儿童反复支气管炎怎么办？,儿童上支气管炎怎么办？,1
151,支气管炎,儿童反复支气管炎怎么办？,儿童反复支气管炎怎么办？,1
152,支气管炎,儿童反复支气管炎怎么办？,儿童反复支气管炎是什么原因？,0
153,支气管炎,儿童反复支气管炎怎么办？,儿童支气管炎主要症状有哪些？,0
154,支气管炎,儿童反复支气管炎怎么办？,儿童支气管炎如何预防？,0
155,支气管炎,儿童支气管炎如何治疗,小儿支气管炎怎么治疗？,1
156,支气管炎,儿童支气管炎如何治疗,该如何治疗小儿支气管炎？,1
157,支气管炎,儿童支气管炎如何治疗,小儿支气管炎是什么？,0
158,支气管炎,儿童支气管炎如何治疗,小儿支气管炎怎么确诊？,0
159,支气管炎,儿童支气管炎如何治疗,治小儿支气管炎多少费用？,0
160,支气管炎,儿童支气管炎氨茶碱吃几个疗程,儿童支气管炎需要吃氨茶碱几个疗程？,1
161,支气管炎,儿童支气管炎氨茶碱吃几个疗程,儿童支气管炎吃几个疗程的氨茶碱能好？,1
162,支气管炎,儿童支气管炎氨茶碱吃几个疗程,支气管炎吃氨茶碱有副作用吗？,0
163,支气管炎,儿童支气管炎氨茶碱吃几个疗程,小孩支气管炎对氨茶碱有依赖吗？,0
164,支气管炎,儿童支气管炎氨茶碱吃几个疗程,支气管炎是用氨茶碱吗？,0
165,支气管炎,儿童支气管炎氨茶碱吃几个疗程,儿童支气管炎氨茶碱需要吃几个疗程？,1
166,支气管炎,儿童支气管炎氨茶碱吃几个疗程,治疗儿童支气管炎氨茶碱要吃几个疗程药？,1
167,支气管炎,儿童支气管炎氨茶碱吃几个疗程,儿童支气管炎氨茶碱会有副作用吗？,0
168,支气管炎,儿童支气管炎氨茶碱吃几个疗程,儿童支气管炎吃氨茶碱过量了怎么办？,0
169,支气管炎,儿童支气管炎氨茶碱吃几个疗程,儿童支气管炎吃什么药好？,0
170,支气管炎,北京治疗支气管炎好的医院是哪家,北京哪家医院治疗支气管炎好？,1
171,支气管炎,北京治疗支气管炎好的医院是哪家,北京哪家医院治疗支气管炎效果好？,1
172,支气管炎,北京治疗支气管炎好的医院是哪家,支气管炎好治吗？,0
173,支气管炎,北京治疗支气管炎好的医院是哪家,哪个地区治疗支气管炎高效？,0
174,支气管炎,北京治疗支气管炎好的医院是哪家,支气管炎病怎么治疗?,0
175,支气管炎,反复支气管炎，什么原因导致,上呼吸道总是反复感染什么原因,1
176,支气管炎,反复支气管炎，什么原因导致,上支气管炎原因？,1
177,支气管炎,反复支气管炎，什么原因导致,支气管炎 小孩反复发烧到底是什么原因,0
178,支气管炎,反复支气管炎，什么原因导致,求解反复支气管炎的原因和痊愈方法,0
179,支气管炎,反复支气管炎，什么原因导致,支气管炎8 个月大小孩反复发烧是什么原因,0
180,支气管炎,发烧，咽痛，有痰咳嗽支气管炎,发烧，咽痛，有痰咳嗽支气管炎怎么办,1
181,支气管炎,发烧，咽痛，有痰咳嗽支气管炎,发烧，咽痛，有痰咳嗽支气管炎怎么治疗,1
182,支气管炎,发烧，咽痛，有痰咳嗽支气管炎,发烧，咽痛，有痰咳嗽是感冒了吗,0
183,支气管炎,发烧，咽痛，有痰咳嗽支气管炎,发烧，咽痛，有痰咳嗽是支气管炎吗,0
184,支气管炎,发烧，咽痛，有痰咳嗽支气管炎,发烧，咽痛，有痰咳嗽是怎么了,0
185,支气管炎,支气管炎中医能不能治好,支气管炎中医能治好吗？,1
186,支气管炎,支气管炎中医能不能治好,中医可不可以治疗支气管炎？,1
187,支气管炎,支气管炎中医能不能治好,支气管炎的症状有哪些？,0
188,支气管炎,支气管炎中医能不能治好,支气管炎是什么？,0
189,支气管炎,支气管炎中医能不能治好,支气管炎的注意事项有什么？,0
190,支气管炎,支气管炎吃什么好?,"确诊患了支气管炎,应该吃什么药",1
191,支气管炎,支气管炎吃什么好?,支气管炎吃什么药管事？,1
192,支气管炎,支气管炎吃什么好?,怎么会得支气管炎？,0
193,支气管炎,支气管炎吃什么好?,什么是支气管炎,0
194,支气管炎,支气管炎吃什么好?,支气管炎什么症状,0
195,支气管炎,支气管炎如何才能不咳嗽,怎样缓解支气管炎的咳嗽症状,1
196,支气管炎,支气管炎如何才能不咳嗽,支气管炎通过什么方法缓解咳嗽,1
197,支气管炎,支气管炎如何才能不咳嗽,什么叫咳嗽支气管炎,0
198,支气管炎,支气管炎如何才能不咳嗽,怎样预防咳嗽支气管炎呢,0
199,支气管炎,支气管炎如何才能不咳嗽,咳嗽支气管炎是什么样的症状呢,0
200,支气管炎,支气管炎常见的症状有哪些?,支气管炎的症状特点有哪些？,1
201,支气管炎,支气管炎常见的症状有哪些?,支气管炎的临床特征有哪些？,1
202,支气管炎,支气管炎常见的症状有哪些?,支气管炎吃什么药好,0
203,支气管炎,支气管炎常见的症状有哪些?,支气管炎该如何治疗,0
204,支气管炎,支气管炎常见的症状有哪些?,支气管炎病因是哪些呢,0
205,支气管炎,支气管炎应该要注意什么?,患有支气管炎需要注意的地方有什么呢？,1
206,支气管炎,支气管炎应该要注意什么?,哪些是支气管炎患者应该注意的？,1
207,支气管炎,支气管炎应该要注意什么?,支气管炎吃什么药好,0
208,支气管炎,支气管炎应该要注意什么?,支气管炎该怎么办？,0
209,支气管炎,支气管炎应该要注意什么?,怎样查支气管炎？,0
210,支气管炎,支气管炎怎么预防复发,预防支气管炎应该怎样做,1
211,支气管炎,支气管炎怎么预防复发,如何预防支气管炎复发,1
212,支气管炎,支气管炎怎么预防复发,得了支气管炎如何缓解,0
213,支气管炎,支气管炎怎么预防复发,支气管炎的特征是什么,0
214,支气管炎,支气管炎怎么预防复发,支气管炎都有哪些类别,0
215,支气管炎,支气管炎有什么症状，会带白痰吗,支气管炎的症状有哪些，有白痰吗？,1
216,支气管炎,支气管炎有什么症状，会带白痰吗,支气管炎的症状有什么表现会有白痰吗？,1
217,支气管炎,支气管炎有什么症状，会带白痰吗,支气管炎是怎么引发的？,0
218,支气管炎,支气管炎有什么症状，会带白痰吗,支气管炎的注意事项有什么？,0
219,支气管炎,支气管炎有什么症状，会带白痰吗,支气管炎会传染吗？,0
220,支气管炎,支气管炎有没有最好的治疗方法?,支气管炎什么方法治疗最好？,1
221,支气管炎,支气管炎有没有最好的治疗方法?,采用什么方法治疗支气管炎最好？,1
222,支气管炎,支气管炎有没有最好的治疗方法?,支气管炎症状是什么,0
223,支气管炎,支气管炎有没有最好的治疗方法?,什么是支气管炎,0
224,支气管炎,支气管炎有没有最好的治疗方法?,支气管炎是怎么得的,0
225,支气管炎,支气管炎的检查项目有哪些,支气管炎要做哪些检查？,1
226,支气管炎,支气管炎的检查项目有哪些,支气管炎要做什么样的检查？,1
227,支气管炎,支气管炎的检查项目有哪些,支气管炎要注意什么？,0
228,支气管炎,支气管炎的检查项目有哪些,支气管炎的症状有哪些？,0
229,支气管炎,支气管炎的检查项目有哪些,支气管炎病是怎么造成的？,0
230,支气管炎,支气管炎的症状有哪些?,支气管炎的表现有哪些,1
231,支气管炎,支气管炎的症状有哪些?,哪些是支气管炎的症状,1
232,支气管炎,支气管炎的症状有哪些?,支气管炎怎么办,0
233,支气管炎,支气管炎的症状有哪些?,支气管炎如何确认？,0
234,支气管炎,支气管炎的症状有哪些?,支气管炎是怎么得的,0
235,支气管炎,支气管炎能吃什么呢,患支气管炎者该吃什么好呢？,1
236,支气管炎,支气管炎能吃什么呢,吃什么对支气管炎患者好,1
237,支气管炎,支气管炎能吃什么呢,怎么会得支气管炎？,0
238,支气管炎,支气管炎能吃什么呢,得了支气管炎怎么办？,0
239,支气管炎,支气管炎能吃什么呢,支气管炎该如何确认？,0
240,支气管炎,支气管炎要吃什么药?,支气管炎应该吃什么药?,1
241,支气管炎,支气管炎要吃什么药?,支气管炎可以吃什么药?,1
242,支气管炎,支气管炎要吃什么药?,支气管炎不能吃什么食物?,0
243,支气管炎,支气管炎要吃什么药?,支气管炎吃什么食疗,0
244,支气管炎,支气管炎要吃什么药?,支气管炎都有什么症状,0
245,支气管炎,支气管炎饮食禁忌有哪些,支气管炎饮食禁忌是什么？,1
246,支气管炎,支气管炎饮食禁忌有哪些,支气管炎饮食上哪些能吃哪些不能？,1
247,支气管炎,支气管炎饮食禁忌有哪些,支气管炎的症状有哪些？,0
248,支气管炎,支气管炎饮食禁忌有哪些,变异性支气管支气管炎怎么治疗?,0
249,支气管炎,支气管炎饮食禁忌有哪些,支气管炎病是怎样引起的？,0
250,支气管炎,支气管炎饮食禁忌有哪些,支气管炎有哪些食物不能吃,1
251,支气管炎,支气管炎饮食禁忌有哪些,支气管炎不能吃什么？,1
252,支气管炎,支气管炎饮食禁忌有哪些,什么是支气管炎,0
253,支气管炎,支气管炎饮食禁忌有哪些,支气管炎怎么治疗,0
254,支气管炎,支气管炎饮食禁忌有哪些,支气管炎的症状有哪些？,0
255,支气管炎,支气管炎，该做什么检查确诊,支气管炎确诊需要做什么检查？,1
256,支气管炎,支气管炎，该做什么检查确诊,确诊支气管炎需要做哪些检查？,1
257,支气管炎,支气管炎，该做什么检查确诊,支气管炎的症状有哪些？,0
258,支气管炎,支气管炎，该做什么检查确诊,支气管炎病是怎么造成的？,0
259,支气管炎,支气管炎，该做什么检查确诊,支气管炎的注意事项有什么？,0
260,支气管炎,吃了支气管炎药身上发热发抖怎么回事,吃了支气管炎药身上发热发抖是什么原因？,1
261,支气管炎,吃了支气管炎药身上发热发抖怎么回事,吃了支气管炎药身上发热发抖是怎么了？,1
262,支气管炎,吃了支气管炎药身上发热发抖怎么回事,吃了支气管炎药身上发热发抖正常吗？,0
263,支气管炎,吃了支气管炎药身上发热发抖怎么回事,支气管炎病病因是什么？,0
264,支气管炎,吃了支气管炎药身上发热发抖怎么回事,支气管炎病有哪些症状？,0
265,支气管炎,含姜片能治咽炎和支气管炎吗？,支气管炎和咽炎含姜片能治疗吗？,1
266,支气管炎,含姜片能治咽炎和支气管炎吗？,咽炎和支气管炎能通过含姜片治疗吗？,1
267,支气管炎,含姜片能治咽炎和支气管炎吗？,含姜片治疗咽炎和支气管炎的原理是什么？,0
268,支气管炎,含姜片能治咽炎和支气管炎吗？,含姜片治疗咽炎和支气管炎用什么替代？,0
269,支气管炎,含姜片能治咽炎和支气管炎吗？,含姜片治疗咽炎和支气管炎有副作用吗？,0
270,支气管炎,咳嗽支气管炎一般服用什么药物,"确诊患了咳嗽支气管炎,应该吃什么药",1
271,支气管炎,咳嗽支气管炎一般服用什么药物,咳嗽性支气管炎吃什么药呢,1
272,支气管炎,咳嗽支气管炎一般服用什么药物,咳嗽支气管炎有什么症状,0
273,支气管炎,咳嗽支气管炎一般服用什么药物,什么是变异性咳嗽支气管炎？,0
274,支气管炎,咳嗽支气管炎一般服用什么药物,咳嗽支气管炎注意些什么？,0
275,支气管炎,咳嗽支气管炎与支气管炎的区别是什么?,咳嗽支气管炎与支气管炎有哪些差别,1
276,支气管炎,咳嗽支气管炎与支气管炎的区别是什么?,咳嗽支气管炎与支气管炎的不同点在哪里,1
277,支气管炎,咳嗽支气管炎与支气管炎的区别是什么?,什么是咳嗽支气管炎,0
278,支气管炎,咳嗽支气管炎与支气管炎的区别是什么?,咳嗽支气管炎的症状有哪些,0
279,支气管炎,咳嗽支气管炎与支气管炎的区别是什么?,咳嗽支气管炎用药有哪些,0
280,支气管炎,咳嗽支气管炎会变成典型支气管炎吗,咳嗽支气管炎会发展成典型支气管炎吗？,1
281,支气管炎,咳嗽支气管炎会变成典型支气管炎吗,咳嗽支气管炎能否变成典型支气管炎？,1
282,支气管炎,咳嗽支气管炎会变成典型支气管炎吗,支气管炎的典型三大症状是什么？,0
283,支气管炎,咳嗽支气管炎会变成典型支气管炎吗,支气管炎典型的临床表现为什么?,0
284,支气管炎,咳嗽支气管炎会变成典型支气管炎吗,不典型支气管炎该怎么治疗？,0
285,支气管炎,咳嗽支气管炎会自愈吗,咳嗽支气管炎能否自愈,1
286,支气管炎,咳嗽支气管炎会自愈吗,咳嗽支气管炎会自己康复吗,1
287,支气管炎,咳嗽支气管炎会自愈吗,咳嗽支气管炎多久能好,0
288,支气管炎,咳嗽支气管炎会自愈吗,咳嗽支气管炎要怎么办？,0
289,支气管炎,咳嗽支气管炎会自愈吗,什么是咳嗽支气管炎,0
290,支气管炎,咳嗽支气管炎可以彻底治好吗,咳嗽支气管炎能根治吗,1
291,支气管炎,咳嗽支气管炎可以彻底治好吗,咳嗽支气管炎能够完全治疗康复吗,1
292,支气管炎,咳嗽支气管炎可以彻底治好吗,，咳嗽支气管炎严重吗？,0
293,支气管炎,咳嗽支气管炎可以彻底治好吗,咳嗽支气管炎怎么治疗,0
294,支气管炎,咳嗽支气管炎可以彻底治好吗,咳嗽他是支气管炎么,0
295,支气管炎,咳嗽支气管炎可以治愈吗,咳嗽支气管炎能治愈吗,1
296,支气管炎,咳嗽支气管炎可以治愈吗,咳嗽支气管炎可以根治吗,1
297,支气管炎,咳嗽支气管炎可以治愈吗,儿童是咳嗽支气管炎的高发人群吗,0
298,支气管炎,咳嗽支气管炎可以治愈吗,咳嗽支气管炎是咳嗽引起的吗,0
299,支气管炎,咳嗽支气管炎可以治愈吗,咳嗽支气管炎是支气管炎吗,0
300,支气管炎,咳嗽支气管炎如何治疗,怎样治疗咳嗽支气管炎？,1
301,支气管炎,咳嗽支气管炎如何治疗,咳嗽支气管炎要怎么办？,1
302,支气管炎,咳嗽支气管炎如何治疗,咳嗽支气管炎原因是什么？,0
303,支气管炎,咳嗽支气管炎如何治疗,什么是咳嗽支气管炎,0
304,支气管炎,咳嗽支气管炎如何治疗,咳嗽支气管炎怎么确诊,0
305,支气管炎,咳嗽支气管炎是什么原因导致的?,咳嗽支气管炎病因是什么？,1
306,支气管炎,咳嗽支气管炎是什么原因导致的?,什么原因导致的咳嗽支气管炎,1
307,支气管炎,咳嗽支气管炎是什么原因导致的?,咳嗽支气管炎症状是什么,0
308,支气管炎,咳嗽支气管炎是什么原因导致的?,咳嗽支气管炎怎么治疗,0
309,支气管炎,咳嗽支气管炎是什么原因导致的?,咳嗽支气管炎注意什么？,0
310,支气管炎,咳嗽支气管炎用什么方法治疗好,咳嗽支气管炎的治疗方法哪个好？,1
311,支气管炎,咳嗽支气管炎用什么方法治疗好,咳嗽支气管炎的治疗什么方法可取？,1
312,支气管炎,咳嗽支气管炎用什么方法治疗好,咳嗽支气管炎不能吃什么？,0
313,支气管炎,咳嗽支气管炎用什么方法治疗好,支气管炎有什么症状？,0
314,支气管炎,咳嗽支气管炎用什么方法治疗好,什么是变异性咳嗽支气管炎？,0
315,支气管炎,咳嗽支气管炎的症状有哪些,咳嗽支气管炎有什么症状？,1
316,支气管炎,咳嗽支气管炎的症状有哪些,咳嗽支气管炎的症状是什么？,1
317,支气管炎,咳嗽支气管炎的症状有哪些,咳嗽支气管炎的治疗方法哪个好？,0
318,支气管炎,咳嗽支气管炎的症状有哪些,咳嗽支气管炎能根治？,0
